,title,description,publishedAt,videoId,liveBroadcastContent
47,De São Miguel do Oeste a Foz do Iguaçu de Tornado 250,,2020-08-10T15:37:51Z,UgwahITRbCo,none
48,Fábio Chapadin - Homenagem a Brasília (Raimundos Paródia),"Fizera pouco em te lo deixado todo quebrado desfigurado irreconhecível o Brasil Estão sem moral, criança com fome no natal ...",2020-10-14T00:29:20Z,AN1lk07s6gY,none
49,"Pirenópolis - Cachoeira Santa Maria, Lázaro e Véu da Noiva",,2020-09-30T04:34:39Z,UIdG4o_9rfk,none
50,"Gramado, RS - Esportes no Gelo",,2020-07-06T16:07:38Z,feFrctc5RbE,none
51,Floripa 12 - Moto na Oficina,,2020-06-30T04:51:46Z,EBnQ455aHA0,none
52,Bonito 2 - Carne de Jacaré é boa? Gopro voltou?,,2020-08-19T00:41:10Z,comII1HaJ7c,none
53,Floripa 4 - Deu ruim!,"O que era pra ser o melhor vídeo do canal ficou pra próxima, sem vento e motor enguiçado! Dia de descanso, perdido em meio a ...",2020-06-22T07:50:57Z,Md59PZEbVSI,none
54,Bombinhas - Floripa,Seguindo pelo litoral catarinense.,2020-06-18T04:09:03Z,q4BtQ6PGHwo,none
55,Bonito 6 - Pizza da Aposta,,2020-08-20T19:17:00Z,HXXl0gzohkM,none
56,Bonito 8 - Bebedeira Federal,,2020-08-24T06:10:50Z,9bpd-pNiQew,none
57,"Pôr do sol em Balneário Daniela, Florianópolis","Créditos Francisco Matelli Matulovic, entre em contato para original.",2020-06-25T00:24:52Z,JYHyPmCuUu8,none
58,"Bonito 4 - Chuva, Artesanato, Tapera, Espetinhos",,2020-08-20T09:41:50Z,R5txm4fIQ48,none
59,Ponte do Lago de Palmas (extra),,2020-10-21T23:24:25Z,awEMo-rWMgo,none
60,"Porto Alegre - Estádios, Parques e Orla",,2020-07-08T16:15:37Z,evPQcswX_LE,none
61,Bonito 9 - Churrasquinho Despedida,,2020-08-25T12:00:22Z,cXPi2fOCHYY,none
62,Extra - Surf em La Pedrera,,2020-08-05T18:31:10Z,XtrBPDTSM2I,none
63,"Canela, RS - Museu da Moda",,2020-07-06T16:29:58Z,f9FNcfQkQ40,none
64,Porto Alegre - Parque dos Moinhos (Parcão),,2020-07-14T23:56:47Z,lUJDaudpZ64,none
65,São Francisco do Sul 4 - Surf &amp; Dunas,"Novo formato de edição sem cortes e sem música, o que acharam?",2020-06-12T03:59:21Z,-P7KObNsZ6Q,none
66,Floripa 1 - Surf,E Mirante da lagoa.,2020-06-19T04:31:30Z,7jGYpbcP76E,none
67,"Foz do Iguaço, PR 20 de setembro de 2022",,2022-09-20T03:04:45Z,8uNLMjhAzA4,none
68,Floripa 5 - Alimentação saúde,Sem aventuras públicas hoje!!!,2020-06-23T17:02:44Z,geN2jY2p8kg,none
69,Não poderia ser mais perrengue... Fundiu motor do carro de noite no meio do nada no Paraguai...,,2022-09-23T22:32:51Z,QKg85EEcWx8,none
70,Floripa 9 - Santo Antônio de Lisboa,Inverno chegou e trouxe um clima bucólico.,2020-06-27T05:37:57Z,8da0ktXeWjM,none
71,São Francisco do Sul 3 - Surf,"Com professor Mabel, valeu meu mano!!",2020-06-10T00:12:36Z,LBC3W4G2blI,none
72,"De Bonito a Campo Grande, Tornado 250",,2020-08-28T06:43:13Z,s8CtNHmGgy8,none
73,Gramado - Lago Negro - Porto Alegre,,2020-07-08T03:45:03Z,RSrLDy1tE9c,none
74,São Francisco do Sul 3 - Surf em Casa,Aula técnica com professor Mabel e takes do Júlio.,2020-06-11T01:16:09Z,x5zjVYwRpEI,none
75,Adrenalive - Mototerapia Borracharia sacana? Finalmente o pneu aguentou! Vamos longe da vida real,,2023-08-23T19:14:31Z,pKG1Bb7WxX4,none
76,"Marcos toca Serenata Para Lua, Dedicado a minha mãe!",Homenagem a Sil!!,2020-06-14T02:41:54Z,F8V7CENCLRs,none
77,Adrenalive - Mototerapia Ficou filé a reforma! 2/5,,2023-09-23T23:29:19Z,d_4qVFx6-Rw,none
78,"Standup Trip Sorocaba, SP - Aula Experimental na Oficina da Comédia 2/9",,2023-09-26T17:45:00Z,4UsAU_QbNE0,none
79,"Adrenalive - Mototerapia Rolê de Tornado por Itapetininga, com cachorro Pirata pt3/4",,2023-09-18T10:13:02Z,TUUKk5oxcs8,none
80,Adrenalive - Mototerapia Ficou filé a reforma! 4/5,,2023-09-23T23:30:20Z,9RTQgzzwLdY,none
81,"Standup Trip Sorocaba, SP - Aula Experimental na Oficina da Comédia 3/9",,2023-09-26T18:00:33Z,k6if5-xYRT4,none
82,Euvimarcos toca pink floyd,,2020-06-14T03:32:48Z,3N1XPPlztBs,none
83,Joinville - São Francisco do Sul 2 - Centro Histórico,Sou + São Eu.,2020-06-09T00:31:58Z,Ql8ys8hoxZU,none
